numTreatments,instCode,journals,dois,country,name,type,country_name,region
260,FSCA,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.66.38022;10.3897/zookeys.893.47059;10.3897/zookeys.796.22517;10.3897/jhr.55.12209;10.3897/jhr.73.38025;10.3897/zookeys.787.26948;10.3897/zookeys.778.25775;10.3897/zookeys.755.23939;10.3897/zookeys.747.22731;10.3897/zookeys.736.21628;10.3897/zookeys.702.14728;10.3897/zookeys.863.33183;10.3897/zookeys.527.6087;10.3897/zookeys.532.6587;10.3897/zookeys.690.13751;10.3897/zookeys.637.11001;10.3897/zookeys.580.8153;10.3897/zookeys.935.50492;10.3897/zookeys.959.53415;10.3897/zookeys.681.12522;10.3897/zookeys.674.11435;10.3897/zookeys.648.10935;10.3897/zookeys.974.54536;10.3897/zookeys.626.10033;10.3897/zookeys.617.9178;10.3897/zookeys.984.53587;10.3897/zookeys.995.55981;10.3897/zookeys.1001.58447;10.3897/zookeys.566.6982;10.3897/zookeys.557.7087;10.3897/zookeys.533.6004;10.3897/jhr.80.59466;10.3897/zookeys.1024.56927;10.3897/jhr.55.5322,US,"Florida State Collection of Arthropods, The Museum of Entomology",MUSEUM,United States,GN
206,WAM,Evolutionary Systematics;Journal of Hymenoptera Research;Subterranean Biology;ZooKeys,10.3897/evolsyst.1.14665;10.3897/evolsyst.1.14847;10.3897/evolsyst.2.30778;10.3897/jhr.64.25219;10.3897/subtbiol.20.10389;10.3897/zookeys.864.34521;10.3897/zookeys.695.19906;10.3897/zookeys.700.11784;10.3897/zookeys.618.8059;10.3897/zookeys.581.8044;10.3897/zookeys.1012.57172;10.3897/zookeys.756.24397;10.3897/zookeys.520.6185,AU,Western Australian Museum,MUSEUM,Australia,GN
149,QM,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/evolsyst.1.15735;10.3897/evolsyst.2.30778;10.3897/evolsyst.3.34496;10.3897/zookeys.818.32061;10.3897/zookeys.700.11784;10.3897/zookeys.697.13381;10.3897/zookeys.647.11455;10.3897/zookeys.598.9229;10.3897/zookeys.646.10912;10.3897/zookeys.638.10883;10.3897/zookeys.618.8059;10.3897/zookeys.984.53587;10.3897/zookeys.586.6774;10.3897/zookeys.554.6120;10.3897/zookeys.1012.57172,US,U.S. Army Natick Research and Development Center,HERBARIUM,United States,GN
42,SAM,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/evolsyst.2.29172;10.3897/zookeys.756.24397;10.3897/zookeys.703.20986;10.3897/zookeys.685.13890;10.3897/zookeys.657.11623;10.3897/zookeys.640.10334;10.3897/evolsyst.5.64922,ZA,South African Museum,,South Africa,GS
68,AM,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/evolsyst.2.30778;10.3897/zookeys.796.21429;10.3897/zookeys.517.10187;10.3897/zookeys.522.6056;10.3897/zookeys.947.53906;10.3897/zookeys.662.11454;10.3897/zookeys.657.11623;10.3897/zookeys.622.9420;10.3897/zookeys.615.9530;10.3897/zookeys.581.8044;10.3897/zookeys.571.7356;10.3897/zookeys.1008.58854;10.3897/zookeys.1012.57172;10.3897/zookeys.838.28634,AU,Australian Museum,MUSEUM,Australia,GN
9,NMV,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/zookeys.818.32061,AU,Museum Victoria,MUSEUM,Australia,GN
16,TMAG,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/zookeys.827.32969;10.3897/zookeys.652.12035;10.3897/zookeys.1012.57172,AU,Tasmanian Museum & Art Gallery,,Australia,GN
69,ZMB,Evolutionary Systematics;ZooKeys;Zoosystematics and Evolution;Deutsche Entomologische Zeitschrift,10.3897/evolsyst.3.35737;10.3897/zookeys.881.36744;10.3897/zse.95.31488;10.3897/zse.93.11576;10.3897/zse.92.7629;10.3897/zookeys.521.5995;10.3897/zookeys.522.10294;10.3897/zookeys.870.36970;10.3897/zookeys.840.33878;10.3897/dez.63.7556;10.3897/zookeys.568.6872;10.3897/zookeys.1009.54303;10.3897/zse.97.57202;10.3897/zookeys.1017.60990;10.3897/zse.97.61351;10.3897/zookeys.771.25534;10.3897/zookeys.764.24581,DE,Museum für Naturkunde Berlin (Zoological Collections),MUSEUM,Germany,GN
56,ZMBN,Evolutionary Systematics;ZooKeys;Nota Lepidopterologica,10.3897/evolsyst.3.35737;10.3897/zookeys.749.24199;10.3897/zookeys.746.14885;10.3897/zookeys.710.14902;10.3897/zookeys.863.33183;10.3897/zookeys.845.32428;10.3897/zookeys.992.55977;10.3897/nl.39.9090;10.3897/zookeys.1033.60686,NO,"Museum of Zoology at the University of Bergen, Invertebrate Collection",,Norway,GN
59,NMW,ZooKeys,10.3897/zookeys.838.33086;10.3897/zookeys.765.24366;10.3897/zookeys.754.24276;10.3897/zookeys.723.21817;10.3897/zookeys.688.11261;10.3897/zookeys.664.11881;10.3897/zookeys.933.48771;10.3897/zookeys.621.9725;10.3897/zookeys.1003.55541;10.3897/zookeys.855.35677;10.3897/zookeys.623.10052,AT,"Naturhistorisches Museum, Wien",,Austria,GN
