numTreatments,instCode,name,type,journals,dois,country,country_name,region
13,CICCAA,,,Zoosystematics and Evolution;ZooKeys,10.3897/zse.94.28085;10.3897/zse.94.22685;10.3897/zse.94.21321;10.3897/zookeys.765.23157;10.3897/zse.94.22106;10.3897/zse.96.56247;10.3897/zse.97.61006,,,
13,CIUFES,,,ZooKeys,10.3897/zookeys.794.26789;10.3897/zookeys.561.7263,,,
13,SYNU,,,ZooKeys,10.3897/zookeys.771.23158;10.3897/zookeys.618.9451;10.3897/zookeys.1034.63388,,,
13,WBWC,,,ZooKeys,10.3897/zookeys.1001.58447,,,
12,CBDG,,,ZooKeys,10.3897/zookeys.768.24423;10.3897/zookeys.705.19815;10.3897/zookeys.669.11773;10.3897/zookeys.1019.59881,,,
12,SING,Singapore Botanic Gardens,HERBARIUM,PhytoKeys,10.3897/phytokeys.110.25846;10.3897/phytokeys.89.20875;10.3897/phytokeys.73.9737;10.3897/phytokeys.68.8803;10.3897/phytokeys.62.8101;10.3897/phytokeys.174.62023,SG,Singapore,GN
12,NTOU,"Institute of Marine Biology, National Taiwan Ocean University",,ZooKeys,10.3897/zookeys.752.23712;10.3897/zookeys.858.35198;10.3897/zookeys.1008.59966,TW,Taiwan,GN
12,OLML,Oberösterreichisches Landesmuseum,MUSEUM,ZooKeys,10.3897/zookeys.577.7301;10.3897/zookeys.1010.58759,AT,Austria,GN
12,IBE,"Institut de Biologia Evolutiva, (CSIC-UPF)",,ZooKeys,10.3897/zookeys.963.53470,ES,Spain,GN
12,CPAC,Centro de Pesquisas Agropecuarias do Cerrado,,ZooKeys,10.3897/zookeys.566.6982,BR,Brazil,GS
12,UBCZ,"University of British Columbia, Spencer Museum",,ZooKeys,10.3897/zookeys.1007.60012,CA,Canada,GN
12,AKM,,,ZooKeys,10.3897/zookeys.522.10294;10.3897/zookeys.587.8188,,,
12,YNAU,,,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.843.31885;10.3897/zookeys.910.35846;10.3897/zookeys.987.55317;10.3897/jhr.81.61892;10.3897/zookeys.1025.59920,,,
12,GLMC,Guilin Medical College,HERBARIUM,MycoKeys,10.3897/mycokeys.63.46836,CN,China,GS
11,NDSU,North Dakota State University,,Deutsche Entomologische Zeitschrift,10.3897/dez.66.38022,US,United States,GN
11,CBEE,,,ZooKeys,10.3897/zookeys.833.32736;10.3897/zookeys.940.50764;10.3897/zookeys.879.35110;10.3897/zookeys.888.34494;10.3897/zookeys.882.38811,,,
11,QVMAG,,,ZooKeys;Evolutionary Systematics,10.3897/zookeys.827.32969;10.3897/evolsyst.1.14847;10.3897/zookeys.846.35028,,,
11,ZSI,,,ZooKeys,10.3897/zookeys.811.29187;10.3897/zookeys.1040.64280;10.3897/zookeys.783.25225;10.3897/zookeys.864.33678;10.3897/zookeys.604.8203,,,
11,UCFC,University of Central Florida,,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.64.24282;10.3897/zookeys.787.26948,US,United States,GN
11,BBH,National Science and Technology Development Agency,HERBARIUM,MycoKeys,10.3897/mycokeys.33.23341;10.3897/mycokeys.72.55088;10.3897/mycokeys.71.55126;10.3897/mycokeys.58.36307,TH,Thailand,GS
11,NHMO,"Natural History Museum, University of Oslo",MUSEUM,Nota Lepidopterologica;ZooKeys,10.3897/nl.40.11184;10.3897/nl.39.9090;10.3897/zookeys.992.55977,NO,Norway,GN
11,XTBG,,,PhytoKeys;ZooKeys,10.3897/phytokeys.110.28673;10.3897/zookeys.1021.56599;10.3897/phytokeys.83.12869;10.3897/phytokeys.138.38995;10.3897/zookeys.1034.59413,,,
11,LISC,Instituto de Investigação Científica Tropical,OTHER_TYPE_RESEARCH_INSTITUTION_BIOREPOSITORY,PhytoKeys,10.3897/phytokeys.69.9292,PT,Portugal,GN
11,PRE,South African National Biodiversity Institute,HERBARIUM,PhytoKeys,10.3897/phytokeys.69.9292,ZA,South Africa,GS
11,HN,Vietnam Academy of Science and Technology (VAST),HERBARIUM,PhytoKeys,10.3897/phytokeys.69.9821;10.3897/phytokeys.69.9272;10.3897/phytokeys.62.7974;10.3897/phytokeys.149.51710;10.3897/phytokeys.166.55731,VN,Viet Nam,GN
11,USM,Universiti Sains Malaysia,,PhytoKeys;ZooKeys,10.3897/phytokeys.65.7024;10.3897/phytokeys.64.6864;10.3897/zookeys.545.6415,MY,Malaysia,GS
11,IAvH,Instituto de Ivestigacion de los Recursos Biologicos Alexander von Humboldt,,ZooKeys,10.3897/zookeys.738.22273;10.3897/zookeys.714.15113;10.3897/zookeys.668.11350;10.3897/zookeys.1031.56035,CO,Colombia,GS
11,CMNZ,Canterbury Museum,MUSEUM,ZooKeys,10.3897/zookeys.707.12649,NZ,New Zealand,GN
11,IECA,"Biology Centre of the Academy of Sciences of the Czech Republic, Institute of Entomology",OTHER_INSTITUTIONAL_TYPE,ZooKeys,10.3897/zookeys.803.28903;10.3897/zookeys.963.54714,CZ,Czechia,GN
11,YNU,Yokohama National University,HERBARIUM,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.657.11630;10.3897/jhr.74.39299;10.3897/zookeys.562.7303,JP,Japan,GN
11,NRM,Swedish Museum of Natural History - Zoological Collections,MUSEUM,ZooKeys;Zoosystematics and Evolution,10.3897/zookeys.552.5956;10.3897/zookeys.596.8332;10.3897/zse.95.31488,SE,Sweden,GN
11,HNU,Hunan Normal University,,ZooKeys,10.3897/zookeys.626.7485;10.3897/zookeys.1009.57857;10.3897/zookeys.1023.62025;10.3897/zookeys.1034.60411;10.3897/zookeys.1037.62916,CN,China,GS
11,NARO,National Agriculture and Food Research Organizarion,LIVING_ORGANISM_COLLECTION,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.68.59641;10.3897/zookeys.902.46531,JP,Japan,GN
11,BRIP,Department of Agriculture and Fisheries,HERBARIUM,MycoKeys,10.3897/mycokeys.78.60063;10.3897/mycokeys.52.30461,AU,Australia,GN
11,ICIPE,,,Journal of Hymenoptera Research;ZooKeys,10.3897/JHR.49.7714;10.3897/zookeys.585.7503,,,
11,RCBB,,,ZooKeys,10.3897/zookeys.800.26292,,,
11,DARC,,,ZooKeys,10.3897/zookeys.796.22517,,,
11,JEEC,,,ZooKeys,10.3897/zookeys.796.22517,,,
11,OÖLM,,,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.66.29269;10.3897/zookeys.974.54794,,,
11,CBGP,,,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.67.29733;10.3897/zookeys.1005.56353;10.3897/zookeys.539.6529,,,
11,GUGC,,,ZooKeys,10.3897/zookeys.786.26402;10.3897/zookeys.861.32594;10.3897/zookeys.854.33117;10.3897/zookeys.846.34003;10.3897/zookeys.1023.59811;10.3897/zookeys.1028.62347;10.3897/zookeys.1028.63727,,,
11,SKYC,,,ZooKeys,10.3897/zookeys.775.26893;10.3897/zookeys.842.33609;10.3897/zookeys.651.10336,,,
11,HMJAU,Herbarium of Mycology of Jilin Agricultural University,,MycoKeys,10.3897/mycokeys.26.14919;10.3897/mycokeys.33.24704;10.3897/mycokeys.51.34956;10.3897/mycokeys.52.34647,CN,China,GS
11,MIZ,,,ZooKeys,10.3897/zookeys.736.21628;10.3897/zookeys.706.18081,,,
11,KSP,Pittsburg State University,HERBARIUM,ZooKeys,10.3897/zookeys.878.37403;10.3897/zookeys.960.55007;10.3897/zookeys.1026.61554,US,United States,GN
11,Tas,,,ZooKeys,10.3897/zookeys.652.12035,,,
10,IBTP,,,Deutsche Entomologische Zeitschrift,10.3897/dez.65.26261,,,
10,NME,"National Museum of Ethiopia in Addis Ababa, Ethiopia",MUSEUM,ZooKeys;Zoosystematics and Evolution,10.3897/zookeys.837.32057;10.3897/zookeys.796.20736;10.3897/zookeys.772.25320;10.3897/zse.91.5411,ET,Ethiopia,GS
10,MZUF,"Museo Zoologico La Specola, Universita di Firenze",,ZooKeys;Subterranean Biology,10.3897/zookeys.837.32057;10.3897/subtbiol.32.37509;10.3897/zookeys.662.11908,IT,Italy,GN
10,QDPC,Queensland Primary Industries Insect Collection,OTHER_TYPE_RESEARCH_INSTITUTION_BIOREPOSITORY,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.818.32061;10.3897/jhr.57.12892,AU,Australia,GN
10,MZUCR,"Universidad de Costa Rica, Museo de Zoologia",,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.72.38908;10.3897/zookeys.1019.60364;10.3897/zookeys.629.10828;10.3897/zookeys.628.9805;10.3897/zookeys.1032.63431,,,
10,SYS,Zhongshan (Sun Yatsen) University,HERBARIUM,ZooKeys;PhytoKeys,10.3897/zookeys.776.22925;10.3897/zookeys.986.47989;10.3897/zookeys.991.54935;10.3897/zookeys.995.55939;10.3897/phytokeys.146.50728;10.3897/phytokeys.176.65443,CN,China,GS
10,CDRS,Invertebrate Collection,,Subterranean Biology;ZooKeys,10.3897/subtbiol.17.7660;10.3897/zookeys.729.21779,EC,Ecuador,GS
10,MBM,"San Jose State University, Museum of Birds and Mammals",,PhytoKeys;ZooKeys,10.3897/phytokeys.74.9835;10.3897/phytokeys.57.5784;10.3897/zookeys.603.9125;10.3897/zookeys.683.12272,,,
10,NSW,Royal Botanic Gardens & Domain Trust,HERBARIUM,PhytoKeys;ZooKeys,10.3897/phytokeys.74.10159;10.3897/phytokeys.151.51909;10.3897/zookeys.517.10187,AU,Australia,GN
10,NWAFU,,,ZooKeys,10.3897/zookeys.750.23486;10.3897/zookeys.832.30301;10.3897/zookeys.880.38033;10.3897/zookeys.545.5992;10.3897/zookeys.635.9915;10.3897/zookeys.605.8944,,,
10,UZC,,,ZooKeys,10.3897/zookeys.724.21415;10.3897/zookeys.1039.66493,,,
10,CBNUIC,,,ZooKeys,10.3897/zookeys.695.19906;10.3897/zookeys.1033.59558,,,
10,MTQ,,,ZooKeys,10.3897/zookeys.695.13771;10.3897/zookeys.763.21252;10.3897/zookeys.733.20474;10.3897/zookeys.594.7539;10.3897/zookeys.646.11397,,,
10,ULLZ,"University of Louisiana at Layafette, Zoological Collection",,ZooKeys,10.3897/zookeys.825.32271,US,United States,GN
10,PEM,Port Elizabeth Museum,MUSEUM,ZooKeys;Zoosystematics and Evolution,10.3897/zookeys.979.56863;10.3897/zse.97.57202;10.3897/zookeys.1023.53404,ZA,South Africa,GS
10,PRA,"Institute of Botany, Academy of Sciences",HERBARIUM,MycoKeys,10.3897/mycokeys.74.57824,CZ,Czechia,GN
10,IFP,"Institute of Applied Ecology, Academia Sinica",HERBARIUM,MycoKeys,10.3897/mycokeys.72.51872;10.3897/mycokeys.66.49910;10.3897/mycokeys.78.57823;10.3897/mycokeys.29.21250;10.3897/mycokeys.51.33262,CN,China,GS
10,UPNG,University of Papua New Guinea,HERBARIUM,ZooKeys,10.3897/zookeys.582.7709,PG,Papua New Guinea,GS
10,NPM,,,ZooKeys,10.3897/zookeys.794.26789;10.3897/zookeys.740.14640,,,
10,JBSC,,,ZooKeys,10.3897/zookeys.527.6087,,,
10,JDM,,,ZooKeys,10.3897/zookeys.700.11784,,,
10,KUMCC,,,MycoKeys,10.3897/mycokeys.51.32272;10.3897/mycokeys.43.29365,,,
10,Jacksonville State University,,,ZooKeys,10.3897/zookeys.594.8623,,,
10,SEPBOP,,,ZooKeys,10.3897/zookeys.825.32271,,,
10,NYNU,,,MycoKeys,10.3897/mycokeys.74.53433;10.3897/mycokeys.75.57192;10.3897/mycokeys.77.60077,,,
